# Logfile created on 2026-03-24 15:52:29 +0100 by logger.rb/v1.4.3
2026-03-24 15:52:29 +0100: Memory Usage (437340K) : varicap_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437468K) : flash_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437468K) : intbondvia_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437596K) : intbondmet_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437596K) : devbondvia_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437596K) : devbondmet_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437724K) : devtrench_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437724K) : redist_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437852K) : graphbot_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437852K) : graphtop_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437852K) : antvia1_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437980K) : antmetal2_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437980K) : graphcont_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438108K) : siwg_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438108K) : siwg_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438108K) : siwg_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438236K) : sigrating_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438236K) : singrating_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438364K) : graphpas_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438364K) : emwind3_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438492K) : emwihv3_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438492K) : redbulay_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438492K) : smos_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438620K) : graphpad_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438620K) : polimide_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438748K) : polimide_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438748K) : recog_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438748K) : recog_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438876K) : recog_esd has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (438876K) : recog_diode has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439004K) : recog_tsv has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439004K) : recog_iprobe has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439004K) : recog_diffprb has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439132K) : recog_pillar has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439132K) : recog_sbump has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439260K) : recog_otp has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439260K) : recog_pdiode has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439388K) : recog_mom has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439388K) : recog_pcm has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439388K) : colopen_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439516K) : graphmetal1_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439516K) : graphmetal1_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439644K) : graphmetal1_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439644K) : graphmetal1_slit has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439644K) : graphmetal1_opc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439772K) : graphmet1l_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439772K) : graphmet1l_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439900K) : graphmet1l_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (439900K) : graphmet1l_slit has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440028K) : graphmet1l_opc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440028K) : extblock_drw has 9 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440028K) : nldd_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440156K) : pldd_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440156K) : next_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440284K) : pext_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440284K) : nexthv_drw has 0 polygons
